ref_score_name    cad_score_name  targets_count  models_count  cor_pearson         cor_spearman
rna_inf_norv_obp  AM              67             33343         0.534604086354024   0.586693451306674
GDT_C3            MA              67             33343         0.500889406923267   0.50606158721326
rna_inf_norv_obp  MA              67             33343         0.496114784065803   0.53688481068962
rna_inf_norv_os   MM              67             33343         0.473395533535657   0.469759787945076
rna_inf_norv      MM              67             33343         0.472984689149403   0.477962161592912
GDT_ALL           MM              67             33343         0.420794303864484   0.432936831462888
rna_inf_norv_obp  MM              67             33343         0.399429365407918   0.430179261036365
GDT_C3            MM              67             33343         0.390184724917708   0.410946238891841
RMSD_C3           MM              67             33343         -0.332273062056025  -0.410086960113364
rna_di            MM              67             33343         -0.361433116557671  -0.482244841448697
rna_rmsd          MM              67             33343         -0.380493693275668  -0.442436119406248
RMSD_ALL          MM              67             33343         -0.384859577415781  -0.445092605251989
RMSD_C3           MA              67             33343         -0.429364768434077  -0.497808105229343
rna_di            MA              67             33343         -0.448498116494725  -0.599837948658658
RMSD_C3           AM              67             33343         -0.461327524716142  -0.53510894168025
rna_rmsd          MA              67             33343         -0.48112065732122   -0.539877723618088
rna_di            AM              67             33343         -0.483771794389753  -0.659993913466488
RMSD_ALL          MA              67             33343         -0.488230836372124  -0.543369892056667
RMSD_C3           na_siding       67             33343         -0.506587038420827  -0.570351444320152
rna_rmsd          AM              67             33343         -0.517909746187633  -0.586462973596263
RMSD_ALL          AM              67             33343         -0.524189845773224  -0.588746564415543
rna_rmsd          na_siding       67             33343         -0.556437179031505  -0.617986619044573
RMSD_ALL          na_siding       67             33343         -0.563891181269866  -0.616838306211132
RMSD_C3           AA              67             33343         -0.606630925438521  -0.647954148995145
rna_di            na_siding       67             33343         -0.618189300877462  -0.745143645176366
RMSD_C3           SA              67             33343         -0.630916755867592  -0.676993765554256
RMSD_C3           SM              67             33343         -0.633501345738613  -0.656962070551944
RMSD_C3           SS              67             33343         -0.634157234171993  -0.677826352815
RMSD_C3           na_stacking     67             33343         -0.638071214104191  -0.673308008474497
RMSD_C3           AS              67             33343         -0.641648949098838  -0.684088469152981
rna_di            SM              67             33343         -0.645993029304683  -0.818723527275705
rna_di            MS              67             33343         -0.659670558726422  -0.848265005195096
RMSD_C3           MS              67             33343         -0.663037128915635  -0.687080172691445
rna_rmsd          AA              67             33343         -0.674997137321243  -0.70805160891036
RMSD_ALL          AA              67             33343         -0.684493971926453  -0.710795156842118
rna_di            AA              67             33343         -0.697043348524916  -0.821417181590525
rna_rmsd          SM              67             33343         -0.702508312003594  -0.725578661485159
rna_rmsd          SA              67             33343         -0.703323330921805  -0.741886761519013
rna_rmsd          SS              67             33343         -0.704218116447375  -0.741413699603899
rna_rmsd          na_stacking     67             33343         -0.706723410805279  -0.738545872685026
RMSD_ALL          SM              67             33343         -0.708971292005244  -0.721352818261624
rna_rmsd          AS              67             33343         -0.712101378240788  -0.747827537070698
RMSD_ALL          SA              67             33343         -0.712468975326226  -0.743351174428739
RMSD_ALL          SS              67             33343         -0.712723162764176  -0.742279483126325
RMSD_ALL          na_stacking     67             33343         -0.714467373102902  -0.737887973921471
RMSD_ALL          AS              67             33343         -0.721149879200112  -0.749145577877679
rna_rmsd          MS              67             33343         -0.726018093329816  -0.751102712512568
RMSD_ALL          MS              67             33343         -0.733467055647884  -0.747378675579123
rna_di            na_stacking     67             33343         -0.73949525796834   -0.874367152755347
rna_di            SS              67             33343         -0.744339834960455  -0.867105719344527
rna_di            AS              67             33343         -0.747124041133404  -0.871962566967688
rna_di            SA              67             33343         -0.747468762874695  -0.866903813079358
